Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Divination,Ancient Runes,History of Magic,Potions,Charms,Flying
225,Ravenclaw,Cecil,Tovar,2000-04-18,Right,6.227,651.4186513,7.175404996,10.19420114,-230.50917,-74.41
226,Hufflepuff,Reva,Stewart,1998-11-16,Left,6.916,417.2814777,8.647227112,5.30205297,-241.15766,-90.7
227,Gryffindor,Emil,Harr,2001-04-28,Left,4.994,615.3631642,-4.470241903,3.199228413,-250.51626,143.62
228,Hufflepuff,Juan,Daniel,1998-09-30,Left,6.267,394.9889318,5.614145674,2.216172615,-244.25496,-119.21
229,Hufflepuff,Leandro,Mcdaniels,1997-09-06,Right,6.266,370.3722896,7.679612103,4.707753137,-244.12828,-62.42
230,Hufflepuff,Lyman,Behrens,1997-09-01,Left,6.368,424.1314002,4.808167967,8.118102861,-244.93876,-15.18
231,Gryffindor,Micaela,Valdes,1998-03-19,Right,5.233,606.6560821,-3.272617687,5.697827404,-250.45348,154.55
232,Hufflepuff,Una,Linville,1999-04-11,Left,5.915,418.3881087,1.346426517,4.974839415,-245.69174,30.65
233,Ravenclaw,Tamra,Elrod,1999-11-12,Left,6.699,637.6132211,4.000868868,7.089668903,-229.46123,-2.03
234,Hufflepuff,Wes,Dillon,1999-08-23,Left,1.725,420.6943846,4.018994749,5.322646476,-244.70598,10.46
235,Hufflepuff,Kendall,Pacheco,2001-05-25,Left,5.161,366.5429301,9.21421901,7.117096187,-243.12244,1.53
236,Slytherin,Roosevelt,Cruz,2001-03-05,Right,-5.447,407.5263942,3.209211132,10.81776866,-251.25924,-48.11
237,Ravenclaw,Kurtis,Gilbert,1999-08-22,Right,6.661,571.2755859,4.543017158,2.564156505,-232.57179,-65.64
238,Hufflepuff,Lenore,Trinidad,2000-11-07,Left,7.938,401.2322511,7.01427093,4.068206237,-241.68553,-30.57
239,Hufflepuff,Olivia,Murry,2001-08-12,Left,6.367,390.4738137,3.93463922,3.387576515,-244.34449,-8.48
240,Hufflepuff,Anton,Bouchard,1997-06-04,Left,4.378,399.9310201,2.703705515,2.94467561,-243.72801,52.66
241,Gryffindor,Dorothea,Horton,1997-01-18,Left,4.457,639.1714214,-3.87079864,5.539824223,-251.03932,161.71
242,Hufflepuff,Aline,Underhill,2000-04-21,Left,6.248,360.8650784,5.700562572,3.659208705,-244.46638,-39.87
243,Hufflepuff,Jana,Chitwood,1998-03-12,Left,3.755,346.8982605,4.596878585,1.26017963,-242.73467,-34.85
244,Hufflepuff,Karon,Mark,1999-12-20,Left,4.799,452.7848732,7.872368957,10.36031517,-243.37157,-36.79
245,Hufflepuff,Dennis,Seidel,2001-06-22,Left,4.8,399.2280785,4.379618442,4.059970863,-244.45513,-41.84
246,Gryffindor,Sammie,Lawton,1997-08-06,Left,4.676,594.5700102,-3.07086662,5.283752019,-252.40981,154.2
247,Hufflepuff,Fay,Wentz,1997-09-02,Right,2.922,363.9658251,8.447594447,8.700228301,-247.19638,-63.52
248,Gryffindor,Lisa,Paz,2001-05-07,Right,5.416,602.0282957,-5.612096214,0.1845183889,-253.87987,187.81
249,Ravenclaw,Sanford,Garrett,2000-12-16,Right,6.756,662.4332921,6.50172737,9.361449546,-229.51217,-9.64
250,Ravenclaw,Verda,Stephenson,2000-10-07,Right,5.016,587.9175035,3.547262971,6.391071258,-230.52802,4.03
251,Slytherin,Kristine,Jacob,1997-05-24,Left,-5.96,431.9016577,2.738833623,5.877581884,-254.14821,-46.53
252,Slytherin,Mirna,Billingsley,2001-10-10,Left,-2.249,435.7323097,7.65238256,10.31659736,-247.07032,-87.42
253,Gryffindor,Brandy,Fielder,1997-02-24,Left,3.699,538.88032,-4.920976288,2.100849475,-255.60148,185.5
254,Hufflepuff,Perla,Calvin,1997-05-13,Right,4.898,360.8538857,3.173109219,1.018757857,-246.0614,-53.39
255,Slytherin,Geraldo,Seaton,1999-05-14,Left,6.088,593.2542195,9.445644732,11.31031254,-225.42814,-4.65
256,Ravenclaw,Gwendolyn,Rosales,1999-01-03,Left,5.439,619.4340308,4.934099607,,-229.14472,18.9
257,Slytherin,Keenan,Kozlowski,1998-04-25,Left,-4.152,436.855595,6.673904435,8.752263905,-251.8601,-96.8
258,Gryffindor,Marcia,Maes,2001-01-16,Left,5.668,597.2128748,-2.601618699,5.48483309,-250.21028,124.23
259,Ravenclaw,Renae,Galindo,2000-03-12,Left,6.538,614.0053811,3.605239146,5.68372924,-231.12704,-25.22
260,Slytherin,Willy,Swearingen,1998-08-06,Right,-3.482,404.0959833,3.416413285,,-245.43575,-16.75
261,Hufflepuff,Son,Campos,2001-01-19,Left,6.03,409.945229,10.87046471,7.601552751,-240.96103,-27.51
262,Ravenclaw,Jung,Pullen,1998-04-06,Right,4.65,592.8959293,4.808764418,7.077044215,-229.96528,44.84
263,Gryffindor,Rosanne,Bradshaw,1999-10-16,Right,5.614,607.3954926,-6.969016028,0.8068602205,-251.18317,220.86
264,Slytherin,Haydee,Stern,2000-02-05,Right,-3.626,366.0970928,5.960932026,12.7763239,-247.24066,-96.4
265,Slytherin,Aurelia,Root,1997-07-21,Left,-6.301,394.6437711,2.075027373,7.527710189,-252.09777,-48.77
266,Slytherin,Gena,Mcdaniels,1999-02-12,Left,-2.977,444.2831478,4.216109679,11.22636052,-244.86731,-24.54
267,Ravenclaw,Landon,Holcomb,2001-05-24,Right,4.531,675.9053382,4.661148527,9.196488129,-230.83331,-28.82
268,Hufflepuff,Jarrett,Underhill,1996-11-26,Right,5.262,406.3189831,3.482806448,3.796458381,-243.87933,19.3
269,Ravenclaw,Randi,Pence,2000-02-22,Right,4.504,631.1633046,2.763427227,3.187943902,-230.49667,-26.11
270,Gryffindor,Jarvis,Mcnutt,1997-09-12,Right,6.198,631.0143822,-4.862880656,5.36298603,-249.79968,200.38
271,Ravenclaw,Lane,Rodrigues,1998-05-10,Left,4.849,632.4565701,3.122975128,6.389850355,-230.65569,-10.37
272,Hufflepuff,Tera,Cochrane,2000-12-26,Right,4.161,337.1915076,7.362512462,0.7639400324,-241.51467,-21.83
273,Hufflepuff,Elvis,Haddad,1998-03-26,Right,4.072,416.313763,7.765597601,5.345871804,-241.77571,-42.81
274,Ravenclaw,Britt,Duckett,2000-07-28,Left,4.206,508.9385081,6.565545391,6.286684917,-232.76409,-7.21
275,Ravenclaw,Dan,Minnick,2000-01-25,Left,,575.7180183,3.864577068,6.770205721,-233.14236,-0.64
276,Ravenclaw,Pearlie,Rousseau,1999-06-20,Left,6.321,568.5209382,5.159087982,8.206382389,-229.27606,19.67
277,Hufflepuff,Erna,Metzler,1999-06-17,Left,2.758,419.5738354,3.206781152,4.767945923,-246.42805,48.8
278,Hufflepuff,Eunice,Bishop,1999-04-21,Right,7.561,417.3564557,3.518668753,5.070320266,-245.36754,2.22
279,Gryffindor,Ralph,Bostick,1998-05-14,Left,5.433,647.0015303,-4.760202671,5.594904322,-251.80498,227.98
280,Hufflepuff,Ike,Curtis,1998-01-19,Right,6.437,423.6354882,3.090094356,6.592267544,-246.02061,1.49
281,Ravenclaw,Adela,Marshall,2001-03-05,Left,5.867,636.6273899,5.594731676,10.22126718,-229.09117,5.64
282,Hufflepuff,Alejandra,Cardwell,1997-05-11,Right,5.626,363.8302164,3.177358559,1.359532644,-246.58563,-50.09
283,Hufflepuff,Sol,Rendon,1999-02-16,Left,5.083,391.9935417,6.72584905,5.832759513,-244.05744,-30.05
284,Ravenclaw,Benton,Spalding,1997-06-08,Left,7.09,630.7497915,3.767711228,4.897175679,-229.56172,18.21
285,Ravenclaw,Leisa,Lawrence,1999-12-01,Left,1.078,572.094747,3.348113793,6.793216413,-231.81343,33.02
286,Gryffindor,Kayla,Jameson,1997-05-29,Left,5.471,607.2816529,-5.288429258,3.14941135,-253.00483,223.19
287,Hufflepuff,Jody,Ricci,1999-05-04,Left,5.445,378.7782526,7.971454372,5.989586767,-243.52366,-55.79
288,Hufflepuff,Jessie,Chung,1997-03-03,Left,6.509,430.7268642,1.642265736,5.858556346,-246.4891,22.69
289,Gryffindor,Calvin,Stauffer,1999-03-23,Right,4.474,558.9078755,-3.754066172,3.532585304,-254.29191,177.01
290,Gryffindor,Carmen,Fulcher,1997-01-12,Left,5.594,595.9834168,-6.349633411,-0.03547437521,-254.25575,228.79
291,Hufflepuff,Matilda,Steiner,1996-11-09,Left,4.574,380.5109728,,2.201209759,-242.84708,-0.05
292,Hufflepuff,Neil,Briseno,1998-03-18,Right,5.875,417.0651069,8.090267404,6.635063323,-242.67815,-33.59
293,Hufflepuff,Anibal,Abraham,1997-01-20,Left,5.634,460.8610634,5.992805845,6.74377574,-241.77286,-19.04
294,Gryffindor,Wilburn,Okeefe,2001-05-26,Right,4.495,560.1524241,-2.227251868,6.762301328,-254.44193,175.93
295,Gryffindor,Alvina,Gragg,2001-03-15,Left,3.288,544.5216736,-5.68582101,0.6975286226,-256.87119,200.32
296,Hufflepuff,Otto,Bruno,1996-11-22,Left,4.52,396.7957355,,3.09266818,-244.57664,67.04
297,Gryffindor,Lilly,Jackman,1997-02-21,Left,4.649,560.8055868,-5.753091277,1.309745063,-253.6374,202.4
298,Ravenclaw,Marietta,Mireles,1997-03-26,Left,6.336,610.9441071,4.690268594,3.431096471,-231.45441,-36.62
299,Hufflepuff,Randal,Bays,1997-06-29,Left,4.802,461.4497572,3.386976279,6.340815357,-243.91673,30
300,Gryffindor,Glenda,Madigan,1997-08-02,Right,4.885,576.4127728,-4.066826992,1.881576362,-252.32769,142.41
301,Hufflepuff,Luann,Lemke,1999-10-05,Right,6.376,420.1859572,7.518985127,6.85401411,-242.57025,-11.12
302,Slytherin,Diego,Yee,1999-06-20,Right,-3.769,406.1657425,6.578085605,8.052146067,-249.12983,-86.57
303,Hufflepuff,Marlon,Carmack,1997-06-20,Right,7.565,408.3269578,3.927966253,5.926594084,-245.74732,-17.07
304,Hufflepuff,Oliver,Sawyer,2001-10-07,Right,6.082,409.7493516,6.038953301,7.807274858,-243.24016,1.62
305,Gryffindor,Brain,Kellum,2000-07-30,Right,4.378,518.2174417,-2.765431169,2.810307012,-254.59946,148.85
306,Slytherin,Tracie,Sturgeon,2001-03-28,Right,-6.153,388.2197945,5.0858002,10.97703974,-250.51835,-83.83
307,Ravenclaw,Rene,Upshaw,1997-01-13,Right,2.202,569.9023852,5.404535113,7.846843966,-228.65997,38.86
308,Hufflepuff,Jovita,Regalado,1999-04-07,Right,6.736,394.6110442,7.307275844,10.20582696,-244.03257,43.22
309,Slytherin,Stacey,Crouse,1999-10-28,Right,-4.718,384.386504,6.114746269,9.843033939,-247.90016,-76.72
310,Ravenclaw,Jimmie,Brantley,1999-08-15,Right,4.054,600.268824,5.65700728,7.318004499,-228.09194,-30.19
311,Hufflepuff,Gene,Castleberry,1999-07-31,Left,4.391,385.5675052,8.750067409,7.229162275,-243.8036,-3.89
312,Slytherin,Joesph,Crider,2000-12-26,Right,-7.47,377.8517211,3.483617703,10.97195818,-253.02997,-94.43
313,Hufflepuff,Lynn,Tovar,2000-01-15,Right,4.398,446.8921237,2.860366436,6.61601427,-244.78662,113.99
314,Gryffindor,Yolanda,Crenshaw,1999-08-07,Right,4.204,588.7122663,-5.282672241,2.68913356,-251.04179,156.78
315,Gryffindor,Jimmie,Mckeown,1998-04-25,Left,3.785,572.2814761,-5.119165778,2.037925903,-258.02308,234.22
316,Ravenclaw,Darwin,Kyle,1999-09-26,Right,4.01,591.5540365,3.216093547,8.00102574,-229.80198,66.76
317,Slytherin,Deon,Wilhelm,2001-01-27,Left,-6.325,356.7167509,5.995915487,9.875272597,-252.55606,-126.58
318,Slytherin,Pete,Ireland,2000-07-05,Right,-3.736,446.1241325,2.453738817,6.62185785,-248.2074,-0.15
319,Hufflepuff,Jarod,Wolff,1996-12-08,Left,4.651,399.200342,5.532849435,5.266346839,-244.35376,-28.92
320,Hufflepuff,Marci,Mckinley,1999-09-03,Right,3.041,389.2985395,3.734386215,3.575565659,-243.44863,76.9
321,Slytherin,Albert,Hudgins,1999-05-09,Left,-5.427,419.970213,5.124208536,9.423082233,-254.51343,-107.35
322,Slytherin,Dick,Lash,1996-11-11,Left,-3.917,489.250447,6.001034572,10.72746867,-250.1211,-37.55
323,Gryffindor,Lidia,Redmond,2001-10-27,Right,5.194,593.5300792,-0.671544965,7.846578438,-250.86038,126.4
324,Hufflepuff,Arlen,Keller,1998-04-09,Right,5.96,417.042431,5.64879372,,-246.58042,-37.49
325,Ravenclaw,Bret,Blanco,2000-09-16,Right,6.096,605.5543525,8.184466799,7.631903701,-229.48828,-34.48
326,Ravenclaw,Shante,Lieberman,1997-11-12,Right,4.048,601.2461336,5.566259843,7.966356761,-230.20382,21.39
327,Slytherin,Susan,Keenan,1999-07-17,Left,-3.952,428.6117495,5.893858368,6.488918455,-250.06907,-64.17
328,Gryffindor,Dottie,Bui,2000-10-02,Left,,636.5837145,-2.631397042,7.164328037,-250.9352,136.15
329,Ravenclaw,Evangeline,Pickett,2001-07-23,Right,6.346,619.9240551,2.581619045,4.76835327,-233.02548,-5.96
330,Slytherin,Addie,Almanza,2001-08-14,Left,-3.667,391.715781,3.727776491,9.266250572,-245.95789,-52.72
331,Hufflepuff,Ivette,Bueno,1996-11-28,Right,4.628,378.4733851,1.975968577,2.282814701,-243.83142,56.03
332,Hufflepuff,Lela,Tuttle,1998-08-11,Left,3.831,299.9832769,,0.7149437554,-242.38598,-42.05
333,Hufflepuff,Hal,Sawyers,2001-01-16,Right,5.236,452.2738787,4.535325171,4.63186643,-241.75746,4.19
334,Ravenclaw,Caridad,Saldivar,1997-04-25,Left,4.403,586.6283276,5.133722792,6.050847523,-232.77505,-25.53
335,Ravenclaw,Federico,Mccollum,2000-09-11,Left,5.596,615.0185584,4.966557843,4.795919381,-227.2289,-8.7
336,Slytherin,Mohamed,Bechtel,2000-11-22,Left,-6.564,490.5199375,2.063964419,7.23147145,-255.02774,-25.68
337,Ravenclaw,Mirna,Hubbard,1998-02-27,Right,5.712,640.1053702,4.459506027,4.778140839,-229.35427,-29.55
338,Gryffindor,Cathrine,Robey,1998-07-17,Right,7.63,636.7778994,-2.603519637,7.213115811,-247.10985,191.41
339,Ravenclaw,Christin,Curran,2000-04-27,Right,5.185,417.3397766,5.240489126,7.389162456,-245.4716,13.18
340,Slytherin,Essie,Rudd,2000-10-31,Left,-1.614,380.7788132,6.690096965,8.570107496,-243.07235,-56.81
341,Slytherin,Garry,Sonnier,1997-08-23,Right,,420.1663596,5.867127957,11.02396585,-250.34131,-81.89
342,Ravenclaw,Alisha,Paterson,1998-10-27,Left,5.414,631.6778902,2.675303028,6.144587329,-231.93536,15.06
343,Hufflepuff,Dinah,Chu,2000-12-11,Left,,437.8440074,4.080520915,4.910110069,-242.41159,11.25
344,Slytherin,Lynwood,Maple,2000-05-23,Left,-3.486,393.6624108,7.711014937,8.115482792,-252.16677,-138.43
345,Ravenclaw,Constance,Romeo,2000-03-28,Right,4.732,590.875952,3.615770608,5.661948033,-232.15,0.16
346,Slytherin,Gayla,Baker,2000-04-20,Left,-3.506,430.2670561,4.309288487,9.247621593,-248.0484,-27.03
347,Ravenclaw,Bob,Christmas,1998-01-12,Right,5.814,674.5847423,6.437551883,8.332726768,-231.15546,-52.89
348,Hufflepuff,Marvin,Dobbs,1997-04-20,Left,3.916,419.2088428,5.443663722,6.524638714,-243.29223,-16.5
349,Hufflepuff,Merlin,Travers,1997-06-04,Right,6.197,451.9062485,6.49435104,8.25431094,-241.94141,2.5
350,Gryffindor,Socorro,Shrader,1998-07-26,Right,4.358,576.2858997,-3.518111484,4.330139994,-251.63444,139.18
351,Ravenclaw,Bernardo,Arce,1999-06-27,Right,5.639,607.2877437,5.374844958,4.503203602,-232.25196,-60.48
352,Gryffindor,Ines,Bess,1999-05-23,Left,5.254,610.9198814,-5.025782254,4.809941654,-251.48853,206.45
353,Gryffindor,Keven,Gore,1998-10-11,Right,4.746,621.2612331,-6.34973301,3.962343724,-252.15568,219.68
354,Hufflepuff,Gina,Dooley,2001-08-07,Right,4.029,387.3513666,1.72720167,2.113176607,-245.68924,1.54
355,Gryffindor,Jefferson,Ham,2000-04-07,Right,6.563,596.1575495,-5.613959844,2.75932582,-250.57557,229.57
356,Slytherin,Zenaida,Schramm,2001-07-14,Left,-6.629,416.8934282,5.269746027,10.50607465,-255.73682,-130.32
357,Hufflepuff,Colby,Loper,2001-05-08,Left,5.159,418.4577529,9.997830217,8.330518929,-241.36018,-26.2
358,Ravenclaw,Freddie,Gabbard,1998-07-31,Right,3.611,599.2351854,4.395795497,8.130411827,-231.83223,4.33
359,Gryffindor,Newton,Bush,2001-06-03,Right,4.634,552.6515187,-4.785772194,2.048558857,-255.28156,215.95
360,Hufflepuff,Fran,Mcfall,2000-06-15,Left,6.229,373.6693171,,5.161816007,-243.47608,-25.27
361,Hufflepuff,Connie,Altman,1997-01-15,Left,7.501,389.2053009,4.52655121,2.688570239,-244.04898,-21.83
362,Ravenclaw,Shannon,Penny,1997-01-07,Right,5.254,614.7843695,3.700322506,5.386758233,-229.91814,57.16
363,Ravenclaw,Everett,Ezell,2000-03-24,Left,5.239,623.5680477,5.616671776,6.639424701,-230.77422,-26.68
364,Slytherin,Ben,Winstead,1997-03-07,Left,-2.642,410.0580288,6.121500343,11.55238847,-245.01929,-50.01
365,Ravenclaw,Edgar,Lemus,2001-03-14,Right,6.571,565.8837789,4.160302102,7.938022239,-227.86156,41.2
366,Slytherin,Cornell,Anthony,1998-10-26,Right,-6.254,408.2522407,2.009160776,9.37664678,-250.09809,-37.38
367,Hufflepuff,Latrice,Camacho,1999-10-17,Right,1.925,449.1092096,5.798675396,8.267439681,-244.10253,76.5
368,Slytherin,Adele,Lapointe,2000-08-17,Right,,407.4467921,6.160693343,8.767638278,-245.9183,-58
369,Hufflepuff,Alpha,Gipson,2000-04-12,Right,6.041,382.6003119,2.639862004,5.319072896,-246.56118,21.06
370,Ravenclaw,Marquita,Bowling,1997-08-30,Right,5.16,625.5843834,4.703329991,8.581514918,-231.99638,-8.39
371,Hufflepuff,Alfonzo,Lacey,2000-02-07,Right,5.619,430.0873282,2.461924847,2.34600294,-243.02315,7.54
372,Hufflepuff,Ernesto,Pitcher,2000-08-03,Left,7.026,400.6480778,2.86811428,4.468169115,-244.91812,24.54
373,Hufflepuff,Sammy,Steffen,1997-12-02,Right,4.907,386.4337751,4.796707487,4.320063193,-243.10558,-1.98
374,Hufflepuff,Francisca,Chester,1999-11-14,Right,6.177,391.5105238,5.950994016,5.394657353,-243.45066,-39.76
375,Ravenclaw,Corrie,Mcdermott,1999-04-14,Right,,583.0847687,5.289540681,5.635629427,-231.13162,-6.68
376,Ravenclaw,Irma,Putnam,2001-04-10,Left,4.674,598.1171573,5.028967672,7.455259025,-232.51409,6.02
377,Hufflepuff,Armand,Bolling,1998-11-13,Left,7.233,391.5263351,5.609546808,5.966364677,-241.70486,58.73
378,Slytherin,Logan,Harlow,1997-06-06,Right,-5.132,401.3589256,6.838286972,11.2351902,-252.32607,-108.5
379,Ravenclaw,Rusty,Galbraith,2000-09-29,Right,6.462,614.1988082,1.303920336,0.4549210054,-230.74615,6.01
380,Hufflepuff,Carol,Wilson,1998-12-17,Right,3.213,283.8696087,3.969302,-0.1864956094,-247.97369,-17.63
381,Gryffindor,Amelia,Daniels,1999-08-10,Left,4.276,610.2799708,,4.141884253,-253.84047,216.17
382,Slytherin,Cesar,Hogg,2000-05-16,Left,-2.9,401.2535324,6.257238128,9.117922569,-244.9726,-66.31
383,Hufflepuff,Nelda,Day,1999-09-02,Left,6.665,395.01514,7.640106522,6.544869462,-244.73266,-48.73
384,Gryffindor,Rachael,Coyle,2000-10-14,Right,3.92,626.9812131,-4.954942647,5.311463797,-256.79912,240.85
385,Hufflepuff,Jay,Bacon,1997-11-08,Left,3.467,461.2626554,4.232999285,7.769440531,-246.11037,0.78
386,Ravenclaw,Rochelle,Hefner,2000-04-13,Left,7.316,623.5225639,5.774247423,3.278739756,-232.4097,-46.38
387,Hufflepuff,Shirley,Doty,1996-12-16,Right,5.912,372.9770382,8.877923065,,-242.93031,-53.9
388,Ravenclaw,Kelli,Corbitt,1997-10-02,Left,3.986,,6.680586083,11.00137724,-229.07568,-17
389,Hufflepuff,Karyn,Taft,1997-11-18,Left,7.103,418.7204309,5.232296166,5.375729723,-244.34413,-33.88
390,Hufflepuff,Beatrice,Dorsey,2000-04-21,Left,5.561,397.711804,5.10226351,4.471533542,-244.74356,-20.94
391,Slytherin,Scotty,Francis,1999-10-19,Right,-4.065,398.5531849,5.051157016,6.53566847,-250.90718,-83.18
392,Hufflepuff,Ernesto,Pike,1997-08-02,Right,5.206,415.0010999,4.209252835,6.193174723,-243.20593,26.94
393,Hufflepuff,Santo,Farley,1999-10-31,Left,7.183,408.2597844,5.679854009,7.102882158,-244.97887,-34.99
394,Ravenclaw,Nicki,Jeter,1997-09-06,Left,6.174,640.6980783,6.832187752,8.727507483,-229.70223,22.81
395,Ravenclaw,Daryl,Matheson,1999-03-07,Left,6.649,602.4187067,4.768165764,8.742790117,-229.73251,31.88
396,Gryffindor,Vickie,Goldstein,2000-10-21,Left,2.949,601.0284206,-5.204115373,3.609409659,-258.2564,243.22
397,Slytherin,Penny,Allan,1999-07-28,Left,-6.043,379.6486936,4.643701052,9.656303667,-252.63282,-98.25
398,Ravenclaw,Titus,Griffis,2000-10-13,Right,6.37,623.838569,4.388334261,5.868536961,-228.83366,-0.47
399,Gryffindor,Fritz,Penny,2000-01-25,Right,3.211,617.5538108,-1.740120578,5.799411589,-255.11472,121.4
400,Ravenclaw,Clementine,Mcmillan,2000-12-18,Left,4.013,582.9443487,,10.28175812,-232.46742,-32.1
401,Hufflepuff,Dennis,Freed,2000-03-01,Left,6.319,374.7477196,11.47936914,8.918863221,-242.67486,-76.2
402,Slytherin,Lincoln,Crowder,2001-09-06,Left,-4.624,396.2372524,4.89924719,8.131861897,-248.71076,-73.72
403,Hufflepuff,Carla,Tafoya,1999-12-27,Right,5.614,441.5592176,7.786242111,11.05591533,-242.27244,23.07
404,Ravenclaw,Nicholas,Macpherson,1999-11-16,Right,6.135,658.3120332,7.041800142,9.360647113,-228.97002,-73.25
405,Hufflepuff,Bettie,Jett,2000-07-21,Left,7.635,413.9538324,3.956411359,5.027625017,-244.18449,25.85
406,Slytherin,Minh,Fisher,1997-06-11,Right,,426.9647245,5.930672073,11.77098566,-247.46986,-64.09
407,Ravenclaw,Sun,Fiore,1999-07-10,Left,4.303,546.0176496,4.852666407,7.193326472,-231.53812,29.73
408,Slytherin,Theron,Donley,1999-07-17,Left,-2.956,397.5110469,9.0288822,10.7030953,-244.20296,-63.12
409,Gryffindor,Harry,Potter,1998-09-21,Left,3.665,604.4943393,-4.002050289,3.96224244,-255.33072,197.44
410,Slytherin,Angelique,Lim,1997-09-22,Left,-3.064,378.0686321,6.334332797,9.514123211,-245.11374,-73.69
411,Gryffindor,Tessie,Talbot,2000-06-20,Right,,618.7440461,-6.161052792,2.22583587,-250.99011,176.49
412,Gryffindor,Jeremy,Littlefield,1998-03-08,Left,3.52,567.1092439,-3.090561813,3.644899504,-255.70319,161.23
413,Ravenclaw,Debbie,Ellison,2001-10-18,Right,4.918,587.8061617,5.620959269,8.526124175,-228.93732,7.72
414,Hufflepuff,Rene,Cushing,1999-06-12,Right,3.623,351.0552769,7.19471778,3.69417063,-244.3345,-10.45
415,Ravenclaw,Stacy,Oaks,1999-02-01,Right,4.578,616.1647677,3.458360413,5.885789363,-234.15355,-15.58
416,Slytherin,Cortez,Crider,1997-07-21,Left,-7.308,423.7926276,1.967042397,9.984563819,-253.53384,-35.96
417,Hufflepuff,Suzanne,Wood,1999-04-27,Right,4.528,377.8097978,2.435964799,2.166137638,-244.50326,-2.39
418,Slytherin,Della,Baer,1999-04-24,Left,-3.147,385.4361325,3.366379856,6.408761143,-244.73841,-25.12
419,Hufflepuff,Jodi,Collett,2001-10-20,Left,2.925,385.2992867,5.957954967,6.715939285,-244.73169,49.93
420,Hufflepuff,Stephenie,Lawler,1998-11-30,Left,3.564,424.6305696,3.166656018,5.246785778,-246.19964,40.48
421,Slytherin,Meagan,Benavides,2001-03-03,Left,-5.507,,4.385760568,8.344975223,-251.95496,-96.78
422,Hufflepuff,Wallace,Mccune,2000-06-26,Right,4.55,439.8788954,3.738620951,6.676479326,-244.13598,53.73
423,Hufflepuff,Morton,Driscoll,2001-10-30,Left,3.06,400.4599533,5.925805664,5.815694476,-244.09869,-15.19
424,Slytherin,Lou,Schulze,1999-12-11,Right,-5.316,360.4265736,7.336104015,11.23521527,-251.35739,-140.63
425,Gryffindor,Delilah,Cade,2001-03-18,Left,6.533,564.622502,-3.396316259,3.211102632,-251.85291,194.36
426,Hufflepuff,Daisy,Swenson,1998-06-15,Right,3.84,387.6582358,,3.230488577,-247.5064,-44.9
427,Hufflepuff,Sandy,Calloway,1998-12-01,Left,3.175,382.3908315,2.652606168,,-244.92423,51.61
428,Hufflepuff,Cecil,Mattos,1997-09-13,Left,5.567,382.6814265,4.70495604,6.503348248,-244.86751,6.37
429,Ravenclaw,Fawn,Mcneill,1997-06-12,Right,5.045,612.6266587,6.530961403,6.013301788,-231.49068,-57.28
430,Gryffindor,Fran,Low,2001-07-19,Right,5.565,592.576632,-3.14744889,2.805419919,-247.79105,107
431,Ravenclaw,Elvis,Reis,1999-08-10,Right,4.628,593.9421501,3.56110368,3.595847011,-230.14143,-13.36
432,Hufflepuff,Jerome,Rosenberg,1998-12-14,Left,6.492,435.9528652,5.166393687,4.938398598,-243.4791,-17.62
433,Gryffindor,Otis,Billingsley,1998-05-10,Left,4.479,628.2401324,-6.059571518,2.462837456,-254.05671,227.95
434,Hufflepuff,Raymon,Novotny,1997-02-20,Left,3.517,352.847179,6.708884862,5.148515137,-245.66274,1.62
435,Hufflepuff,Eve,Marroquin,1999-12-16,Right,7.067,380.8913447,6.452325718,4.447282274,-242.53668,-66.72
436,Ravenclaw,Desmond,Keister,1997-10-07,Left,2.466,565.4197633,6.220250621,6.890720056,-229.38696,-16.96
437,Ravenclaw,Abbie,Rutter,1999-12-21,Left,1.647,578.0457427,7.192927812,9.196968889,-230.66016,-39.4
438,Slytherin,Will,Chau,1998-10-25,Left,-6.051,444.9568747,3.133600027,10.68418636,-250.03644,-11.4
439,Ravenclaw,Prince,Cardoza,1999-04-23,Left,5.599,600.8918323,4.25384739,3.339984844,-232.55749,6.62
440,Hufflepuff,Merry,Martinson,2001-09-04,Left,2.651,358.4232082,3.672490731,2.4006247,-244.96681,59.36
441,Ravenclaw,Marcella,Wakefield,1999-07-29,Right,4.916,590.3804544,6.51563381,10.59311292,-230.27674,-19.6
442,Ravenclaw,Belle,Noe,2001-07-22,Right,4.989,596.9545518,3.346715976,8.399181762,-228.26344,39.62
443,Gryffindor,Aldo,Strain,2000-09-03,Left,4.812,552.9393514,-4.195089551,3.166260095,-253.88363,167.75
444,Ravenclaw,Maureen,Friedman,1998-03-13,Left,4.392,610.3360767,4.252374305,8.439350724,-231.03441,-0.46
445,Ravenclaw,Evangelina,Steadman,1998-01-04,Right,5.883,348.1352064,4.218426012,3.677454267,-247.15992,-82.34
446,Hufflepuff,Reinaldo,Cabrera,2000-12-02,Right,6.091,407.6347585,6.05226986,7.962707145,-246.34716,-55.35
447,Gryffindor,Isabel,Day,1999-02-11,Left,5.407,637.682645,-5.04748055,4.757360054,-252.19928,207.54
448,Ravenclaw,Marianna,Marcus,1999-11-09,Right,4.926,639.424492,3.829748223,7.270871476,-232.59589,3.62
449,Gryffindor,Tad,Book,1999-01-23,Left,4.042,594.3636927,-5.39625797,1.407844543,-254.57294,175.15
450,Hufflepuff,Max,Ashford,2000-06-30,Right,5.824,383.7704562,,3.539600951,-243.80428,-30.5
